job_title,company,location,application_time
Senior Product Analyst ,Babylist,United States (Remote),Applied on Company Website 1mo ago
Business Intelligence (BI) Engineer ,Flock Safety,United States (Remote),Applied on Company Website 1mo ago
"Strategy Associate, Global Planning & Analytics ",TikTok,"New York, United States",Applied on Company Website 1mo ago
"Senior Analyst, Advanced Analytics ",Airbnb,United States (Remote),Applied on Company Website 1mo ago
Strategy & Analytics Lead ,Faire,"New York, NY",Applied on Company Website 1mo ago
Operations Analytics Manager ,Meta,"New York, NY",Applied on Company Website 1mo ago
"Sr Analyst, Sales Analytics ",DoorDash,"San Francisco, CA",Applied 1mo ago
Data Analytics & Insights Manager (TV Product) ,Samsung Electronics America,"New York, NY (Hybrid)",Applied 1mo ago
"Program Insights Analyst, Google Customer Solutions ",Google,"New York, NY (On-site)",Applied on Company Website 1mo ago
"Senior Analytics Engineer, Operations ",Wonder,"New York, NY (On-site)",Applied on Company Website 1mo ago
Strategy Analyst ,MrBeast,United States (Remote),Applied 1mo ago
People Analytics ,Stripe,"New York, United States",Applied on Company Website 2mo ago
"Associate Director, Business Intelligence ",Bounteous,United States (Remote),Applied on Company Website 2mo ago
Strategy & Analytics Lead ,Boomi,United States (Remote),Applied on Company Website 2mo ago
Business Intelligence and Data Analytics Lead ,ITE Management,"New York, NY (Hybrid)",Applied 2mo ago
Business Intelligence Engineer,CoreWeave,"New York, NY (Remote)",Applied 2mo ago
"Manager, Operations Analytics & Reporting ",SoFi,"Claymont, DE",Applied 2mo ago
Business Intelligence Lead ,Faire,"New York, NY",Applied on Company Website 2mo ago
"Senior Manager, Business Intelligence ",Equinox,New York City Metropolitan Area (On-site),Applied on Company Website 2mo ago
Data & Reporting Manager ,LinkedIn,"Sunnyvale, CA (Hybrid)",Applied 2mo ago
Director of Insights ,CookUnity,"New York, NY (On-site)",Applied on Company Website 2mo ago
Sales Data Analyst ,Madhive,"New York, NY",Applied 3mo ago
Senior Data Analyst,Stellar Health,"New York, NY (Remote)",Applied on Company Website 3mo ago
Strategy and Analytics Associate ,SentiLink,United States (Remote),Applied on Company Website 3mo ago
Senior Data Analyst - Strategy & Planning ,Rokt,"New York, NY (On-site)",Applied 3mo ago
"Senior Data Analyst, Social ",Known,"New York, NY (Hybrid)",Applied 3mo ago
Data Analyst ,OpenStore,"New York, NY",Applied on Company Website 3mo ago
Business Intelligence Engineer ,Fireblocks,United States (Remote),Applied on Company Website 3mo ago
BI Data Analyst ,Talkspace,"New York, NY",Applied on Company Website 3mo ago
Basketball Data Scientist ,Swish Analytics,United States (Remote),Applied on Company Website 3mo ago
"Trade Operations Analyst – Quant Trading - $200,000-250,000 + Bonus",Saragossa,"New York, United States (On-site)",Applied 3mo ago
Operations Analyst (trading desk) - Quant Hedge Fund (NYC) – $200-300k total comp package,Mondrian Alpha,"New York, United States (On-site)",Applied 3mo ago
Senior Business Intelligence Analyst,Smith Hanley Associates,"New York, NY (On-site)",Applied 3mo ago
"Data Scientist, Trust & Safety",Gemini,United States (Remote),Applied on Company Website 3mo ago
Lead Data Analyst ,CAVA,United States (Remote),Applied 3mo ago
"Manager, Business Intelligence ",Justworks,"New York, NY (Hybrid)",Applied on Company Website 3mo ago
Data Team Lead,Jolt,New York City Metropolitan Area (Hybrid),Resume downloaded 3mo ago
Business Intelligence Analytics Manager,PuppySpot,United States (Remote),Applied 3mo ago
Business Intelligence Engineer (LookML/Snowflake),Cleerly,"New York, NY (Remote)",Applied on Company Website 3mo ago
"Business Intelligence Analyst, Go-To-Market ",Google,"New York, NY (On-site)",Applied on Company Website 3mo ago
Business Intelligence and Data Analytics Lead,ITE Management,"New York, NY (Hybrid)",Applied 3mo ago
"Staff Analyst, Operations Analytics ",Upstart,United States (Remote),Applied 3mo ago
Data Analyst ,Schonfeld,"New York, NY (On-site)",Applied on Company Website 3mo ago
Data Science Consultant / Lead,Tarka Talent,"New York, United States (On-site)",Applied 3mo ago
Business Intelligence Manager ,Coda Search│Staffing,"New York, NY (On-site)",Applied 3mo ago
Analytics Lead,Scan.com,"Atlanta, GA (Remote)",Applied 3mo ago
Business Intelligence Analyst ,Tubi,"San Francisco, CA (Remote)",Applied 3mo ago
Analytics Engineer II ,Oscar Health,United States (Remote),Applied 3mo ago
Business Intelligence Analyst ,Tubi,"San Francisco, CA (Remote)",Applied 3mo ago
"Associate Director, Data & Analytics ",Curology,United States (Remote),Applied on Company Website 3mo ago
Lead Business Intelligence Analyst ,Verizon,"New York, NY (Hybrid)",Applied on Company Website 3mo ago
Data/Analytics/Reporting Lead,Aira,United States (Remote),Applied 3mo ago
Business Intelligence Engineer ,Yieldmo,United States (Remote),Applied on Company Website 3mo ago
Business Intelligence Analyst,Real Essentials,"New York, United States (On-site)",Applied 3mo ago
Business Intelligence Associate ,Coda Search│Staffing,"New York, NY (On-site)",Applied 3mo ago
Data Scientist - Product,Chapter,"New York, NY (Hybrid)",Applied on Company Website 3mo ago
"Data Scientist, Analytics Consumer Products ",Juul Labs,United States (Remote),Applied 3mo ago
100% Remote Senior Data Analyst ,Jobot,"New Orleans, LA (Remote)",Applied 3mo ago
Data Analyst ,Jobot,"Austin, TX (Remote)",Applied 3mo ago
Sr. Strategy Analyst ,Upwork,"Maryland, United States (Remote)",Applied 3mo ago
Sales Strategy & Operations Analyst ,Stripe,"New York, United States (On-site)",Applied on Company Website 3mo ago
"Manager, Reporting & Analytics ",Brightspeed,"Charlotte, NC (Remote)",Applied 3mo ago
"Senior Analyst, Recruiting Analytics ",Datadog,"New York, NY",Applied on Company Website 3mo ago
Business Analyst,Eviden,"New York, NY (On-site)",Applied 3mo ago
Senior Data Analyst,DarioHealth ,"New York, United States (Remote)",Applied 3mo ago
Marketing Decision Scientist ,Meta,"New York, NY",Applied on Company Website 3mo ago
Data Analyst Consultant (Marketing/Media),Artefact,"New York, NY",Applied 3mo ago
Senior Market Researcher ,Justworks,"New York, NY (Hybrid)",Applied on Company Website 3mo ago
"Manager, Business Insights ",adMarketplace,"New York, NY (On-site)",Applied on Company Website 3mo ago
Business Intelligence Manager,Smith Hanley Associates,"New York, NY (Hybrid)",Applied 3mo ago
